key,artist,song,link,text
1,Adele,All I Ask,/a/adele/all+i+ask_21105101.html,"[Verse 1]  
I will leave my heart at the door  
I won't say a word  
They've all been said before, you know  
So why don't we just play pretend  
Like we're not scared of what's coming next  
Or scared of having nothing left  
  
[Pre-Chorus]  
Look, don't get me wrong  
I know there is no tomorrow  
All I ask is  
  
[Chorus]  
If this is my last night with you  
Hold me like I'm more than just a friend  
Give me a memory I can use  
Take me by the hand while we do what lovers do  
It matters how this ends  
Cause what if I never love again?  
  
[Verse 2]  
I don't need your honesty  
It's already in your eyes and I'm sure my eyes, they speak for me  
No one knows me like you do  
And since you're the only one that matters, tell me who do I run to?  
  
[Pre-Chorus]  
Now, don't get me wrong  
I know there is no tomorrow  
All I ask is  
  
[Chorus]  
If this is my last night with you  
Hold me like I'm more than just a friend  
Give me a memory I can use  
Take me by the hand while we do what lovers do  
It matters how this ends  
Cause what if I never love again?  
  
[Bridge]  
Let this be our lesson in love  
Let this be the way we remember us  
I don't wanna be cruel or vicious  
And I ain't asking for forgiveness  
All I ask is...  
  
[Chorus]  
If this is my last night with you  
Hold me like I'm more than just a friend  
Give me a memory I can use  
Take me by the hand while we do what lovers do  
It matters how this ends  
Cause what if I never love again?

"
2,Adele,Can't Let Go,/a/adele/cant+let+go_21105103.html,"[Verse 1]  
When did it go wrong, I will never know  
I have loved you all my life  
How did it slow down, I go round and round  
Thinking about it all the time  
  
[Pre-Chorus]  
I gave you heaven on a platter baby  
I gave you everything you never gave me  
I never lied and I never faked it  
Only wanted for you to save me  
This love, it ain't over yet  
There's too much that I haven't said  
  
[Chorus]  
Did you find the note that I wrote?  
I hid it in the seam of your coat  
It was hard to write with a lump in my throat  
Do you even know I can't let go  
  
[Verse 2]  
Why were you so cold, let the truth be told  
Tell me was it all for the thrill?  
What was I thinking, I gave you everything  
But you still went for the kill  
  
[Pre-Chorus]  
I gave you heaven on a platter baby  
I gave you everything you never gave me  
I never lied and I never faked it  
Only wanted for you to save me  
  
[Chorus]  
Did you find the note that I wrote?  
I hid it in the seam of your coat  
It was hard to write with a lump in my throat  
Do you even know I can't let go  
  
[Bridge]  
Oooh sometimes I feel like I'm in the dark  
Oooh I thought I'd die in your arms  
  
[Chorus]  
Did you find the note that I wrote?  
I hid it in the seam of your coat  
It was hard to write, I had a lump in my throat  
Do you even know that I can't let go  
  
[Outro]  
Hope you know, I won't let go

"
3,Adele,Crazy For You,/a/adele/crazy+for+you_20830095.html,"Found myself today singing out your name,  
You said I'm crazy,  
If I am I'm crazy for you.  
  
Sometimes sitting in the dark wishing you were here  
Turns me crazy,  
But it's you who makes me lose my head.  
  
And every time I'm meant to be acting sensible  
You drift into my head  
And turn me into a crumbling fool.  
  
Tell me to run and I'll race,  
If you want me to stop I'll freeze,  
And if you want me gone. I'll leave, just hold me closer baby,  
And make me crazy for you.  
Crazy for you.  
  
Lately with this state I'm in I can't help myself but spin.  
I wish you'd come over,  
Send me spinning closer to you.  
  
My oh my, how my blood boils, it's sweet taste for you,  
Strips me down bare  
And gets me into my favorite mood.  
  
I keep on trying, fighting these feelings away,  
But the more I do,  
The crazier I turn into.  
  
Pacing floors and opening doors,  
Hoping you'll walk through  
And save me boy,  
Because I'm too crazy for you.  
Crazy for you

"
4,Adele,Daydreamer,/a/adele/daydreamer_20730061.html,"Daydreamer  
Sitting on the sea  
Soaking up the sun  
He is a real lover  
And making up the past  
Feeling up his girl  
Like he's never felt a figure before  
  
A jaw dropper  
Looks good when he walks  
Is the subject of their talk  
He would be hard to chase  
But good to catch  
And he could change the world  
With his hands behind his back, oh  
  
You can find him sittin' on your doorstep  
Waiting for a surprise  
And he will feel like he's been there for hours  
And you can tell that he'll be there for life  
  
Daydreamer  
With eyes that make you melt  
He lends his coat for shelter  
Plus he's there for you  
When he shouldn't be  
But he stays all the same  
Waits for you  
Then sees you through  
  
There's no way I  
Could describe him  
What I'll say is  
Just what I'm hoping for  
  
But I will find him sittin' on my doorstep  
Waiting for a surprise  
And he will feel like he's been there for hours  
And I can tell that he'll be there for life  
And I can tell that he'll be there for life

"
5,Adele,Hello,/a/adele/hello_21103519.html,"[Verse 1]  
Hello, it's me  
I was wondering if after all these years  
You'd like to meet, to go over  
Everything  
They say that time's supposed to heal ya  
But I ain't done much healing  
  
Hello, can you hear me?  
I'm in California dreaming about who we used to be  
When we were younger and free  
I've forgotten how it felt before the world fell at our feet  
  
[Pre-Chorus 1]  
There's such a difference between us  
And a million miles  
  
[Chorus]  
Hello from the other side  
I must've called a thousand times to tell you  
I'm sorry, for everything that I've done  
But when I call you never seem to be home  
  
Hello from the outside  
At least I can say that I've tried to tell you  
I'm sorry, for breaking your heart  
But it don't matter, it clearly doesn't tear you apart anymore  
  
[Verse 2]  
Hello, how are you?  
It's so typical of me to talk about myself  
I'm sorry, I hope that you're well  
Did you ever make it out of that town  
Where nothing ever happened?  
  
[Pre-Chorus 2]  
It's no secret  
That the both of us are running out of time  
  
[Chorus]  
Hello from the other side  
I must've called a thousand times to tell you  
I'm sorry, for everything that I've done  
But when I call you never seem to be home  
  
Hello from the outside  
At least I can say that I've tried to tell you  
I'm sorry, for breaking your heart  
But it don't matter, it clearly doesn't tear you apart anymore  
  
[Bridge]  
Ooooohh, anymore  
Ooooohh, anymore  
Ooooohh, anymore  
Anymore  
  
[Chorus]  
Hello from the other side  
I must've called a thousand times to tell you  
I'm sorry, for everything that I've done  
But when I call you never seem to be home  
  
Hello from the outside  
At least I can say that I've tried to tell you  
I'm sorry, for breaking your heart  
But it don't matter, it clearly doesn't tear you apart anymore

"
6,Adele,I Miss You,/a/adele/i+miss+you_21105095.html,"[Verse 1]  
I want every single piece of you  
I want your heaven and your oceans too  
Treat me soft but touch me cruel  
I wanna teach you things you never knew, ooh baby  
Bring the floor up to my knees  
Let me fall into your gravity  
Then kiss me back to life to see  
Your body standing over me  
  
[Pre-Chorus]  
Baby, don't let the lights go down  
Baby, don't let the lights go down  
Baby, don't let the lights go down  
Lights go down, lights go down  
Lights go down, lights go down  
Down, down, down  
  
[Chorus]  
I miss you when the lights go out  
It illuminates all of my doubts  
Pull me in, hold me tight  
Don't let go, baby give me light  
I miss you when the lights go out  
It illuminates all of my doubts  
Pull me in, hold me tight  
Don't let go, baby give me light  
  
[Verse 2]  
I love the way your body moves  
Towards me from across the room  
Brushing past my every groove  
No one has me like you do  
Baby, bring your heart, I'll bring my soul  
But be delicate with my ego  
I wanna step into your great unknown  
With you and me setting the tone  
  
[Pre-Chorus]  
Baby don't let the lights go down  
Baby don't let the lights go down  
Baby don't let the lights go down  
Lights go down, lights go down  
Lights go down, lights go down  
Down, down, down  
  
[Chorus]  
I miss you when the lights go out  
It illuminates all of my doubts  
Pull me in, hold me tight  
Don't let go, baby give me light  
I miss you when the lights go out  
It illuminates all of my doubts  
Pull me in, hold me tight  
Don't let go, baby give me light  
  
[Bridge]  
We play so dirty in the dark  
Cause we are living worlds apart  
It only makes it harder, baby  
It only makes it harder, baby  
Harder baby, harder baby  
  
[Chorus]  
I miss you when the lights go out  
It illuminates all of my doubts  
Pull me in, hold me tight  
Don't let go, baby give me light  
I miss you when the lights go out  
It illuminates all of my doubts  
Pull me in, hold me tight  
Don't let go, baby give me light  
  
[Outro]  
I miss you, I miss you  
I miss you, I miss you  
I miss you, I miss you  
I miss you, I miss you

"
7,Adele,Melt My Heart To Stone,/a/adele/melt+my+heart+to+stone_20730059.html,"Right under my feet there's air made of bricks  
Pulls me down turns me weak for you  
I find myself repeating like a broken tune  
And I'm forever excusing your intentions  
That I give in to my pretendings  
Which forgive you each time  
Without me knowing  
They melt my heart to stone  
  
[Chorus]  
And I hear your words that I made up  
You say my name like there could be an us  
I best tidy up my head I'm the only one in love  
I'm the only one in love  
  
Each and every time I turn around to leave  
I feel my heart begin to burst and bleed  
So desperately I try to link it with my head  
But instead I fall back to my knees  
As you tear your way right through me  
I forgive you once again  
Without me knowing  
You've burnt my heart to stone  
  
And I hear your words that I made up  
You say my name like there could be an us  
I best tidy up my head I'm the only one in love  
I'm the only one in love  
  
Why do you steal my hand  
Whenever I'm standing my own ground  
You build me up, then leave me dead  
  
I hear your words you made up  
I say your name like there should be an us  
I best tidy up my head I'm the only one, in love  
I'm the only one in love

"
8,Adele,Need You Know,/a/adele/need+you+know_20913874.html,"Picture perfect memories,  
Scattered all around the floor.  
Reaching for the phone cause, I can't fight it anymore.  
And I wonder if I ever cross your mind.  
For me it happens all the time.  
  
It's a quarter after one, I'm all alone and I need you now.  
Said I wouldn't call, but I lost all control and I need you now.  
And I don't know how I can do without, I just need you now.  
  
Another shot of whiskey, can't stop looking at the door.  
Wishing you'd come sweeping in the way you did before.  
And I wonder if I ever cross your mind.  
For me it happens all the time.  
  
It's a quarter after one, I'm a little drunk,  
And I need you now.  
Said I wouldn't call but I lost all control and I need you now.  
And I don't know how I can do without, I just need you now.  
  
Yes I'd rather hurt than feel nothing at all.  
It's a quarter after one, I'm all alone and I need you now.  
And I said I wouldn't call but I'm a little drunk and I need you now.  
And I don't know how I can do without, I just need you now.  
I just need you now.  
Oh baby I need you now.

"
9,Adele,Now And Then,/a/adele/now+and+then_20746846.html,"Sometimes the hole you left hurts my heart so bad  
It cuts through the deepest parts of me  
And fills up my mouth with words that I cry  
How I'm still trying to stay inside  
Hearts break and hearts wait  
To make us grow from dust  
Then our eyes cry and souls sigh  
So that we know that it hurts  
Our hearts break and hearts wait  
To make us grow from dust  
Then our eyes cry and souls sigh  
So that we know that it hurts  
Every now and then my memories ache  
With the empty ideas of the ones we'd made  
But as time goes on and my age gets older  
I love the ones I know, they're enough to picture the rain  
'Cause heart break and hearts wait  
To make us grow from dust  
Then our eyes cry and souls sigh  
So that we know that it hurts  
Our hearts break and hearts wait  
To make us grow from dust  
Then our eyes cry and souls sigh  
So that we know that it hurts  
You know when to make me, I might just your heal  
You know when to make me, I might just your heal  
You know when to make me, I might just your heal  
You know when to make me, I might just your heal  

"
10,Adele,Someone Like You,/a/adele/someone+like+you_20895042.html,"I heard, that you're settled down  
That you found a girl and you're, married now  
  
I heard, that your dreams came true  
I guess she gave you things  
I didn't give to you  
  
Old friend, why are you so shy  
Ain't like you to hold back  
Or hide from the light  
  
I hate to turn up out of the blue uninvited but I  
Couldn't stay away I couldn't fight it  
I had hoped you'd see my face  
And that you be reminded that for me it isn't over  
  
Never mind I'll find someone like you  
I wish nothing but the best  
For you too, don't forget me  
I beg, I'll remember you say  
Sometimes it lasts in love  
But sometimes it hurts instead  
Sometimes it lasts in love  
But sometimes it hurts instead yeah  
  
You know how the time flies  
Only yesterday it was the time of our lives  
We were born and raised  
In a summer haze bound by the surprise  
Of our glory days  
  
I hate to turn up out of the blue uninvited but I  
Couldn't stay away I couldn't fight it  
I hoped you'd see my face  
And that you'd be reminded that for me it isn't over  
  
Never mind I'll find someone like you  
I wish nothing but the best for you too  
Don't forget me I beg, I'll remember you say  
Sometimes it lasts in love but sometimes it hurts instead  
  
Nothing compares no worries or cares  
Regrets and mistakes their memories made  
Who would have known how bittersweet  
This would taste  
  
Never mind I'll find someone like you  
I wish nothing but the best for you  
Don't forget me I beg, I'll remember you say  
Sometimes it lasts in love but sometimes it hurts instead  
  
Never mind I'll find someone like you  
I wish nothing but the best for you too  
Don't forget me I beg, I'll remember you say  
Sometimes it lasts in love but sometimes it hurts instead  
  
Sometimes it lasts in love but sometimes it hurts instead

"
